word	sentence	translation	difficulty_rank	gloss	transliteration	source
jioni	Jioni hii kuna baridi kidogo.	This evening it is a little cold.	2	jioni (CL9-evening) hii (CL9-this) kuna (CL17-there.is) baridi (CL9-cold) kidogo (CL7-a.little)		ai
adhuhuri	Tutakutana adhuhuri mbele ya duka.	We will meet at midday in front of the shop.	3	tu-ta-kutana (1PL-FUT-meet) adhuhuri (CL9-midday) mbele ya (in.front.of) duka (CL5-shop)		ai
mzima	Baba yangu ni mzima baada ya safari ndefu.	My father is well after the long journey.	3	baba (CL1-father) y-angu (CL9-my) ni (is) m-zima (CL1-well) baada ya (after) safari (CL9-journey) ndefu (CL9-long)		ai
kabisa	Nimeshiba kabisa, siwezi kula tena.	I am completely full; I cannot eat any more.	3	ni-me-shiba (1SG-PERF-be.full) kabisa (completely) si-wezi (1SG.NEG-be.able) ku-la (INF-eat) tena (again)		ai
asante	Asante kwa msaada wako wa jana.	Thank you for your help yesterday.	2	asante (thanks) kwa (for) msaada (CL3-help) w-ako (CL3-your) wa (CL3-of) jana (yesterday)		ai
sana	Kitabu hiki kinavutia sana.	This book is very interesting.	2	kitabu (CL7-book) hiki (CL7-this) ki-na-vutia (CL7-PRES-be.interesting) sana (very)		ai
mzuri	Mwalimu wetu ni mzuri na mvumilivu.	Our teacher is good and patient.	3	mwalimu (CL1-teacher) w-etu (CL1-our) ni (is) m-zuri (CL1-good) na (and) m-vumilivu (CL1-patient)		ai
naitwa	Naitwa Amina, na wewe unaitwa nani?	My name is Amina, and what is your name?	2	na-itwa (1SG.PRES-be.called) Amina na (and) wewe (you) u-na-itwa (2SG-PRES-be.called) nani (who)		ai
jina	Jina langu ni fupi lakini ni gumu kutamka.	My name is short but hard to pronounce.	4	jina (CL5-name) l-angu (CL5-my) ni (is) fupi (CL5-short) lakini (but) ni (is) gumu (CL5-hard) ku-tamka (INF-pronounce)		ai
furaha	Nina furaha kubwa kuwaona tena.	I am very happy to see you all again.	3	ni-na (1SG-have) furaha (CL9-happiness) kubwa (CL9-big) ku-wa-ona (INF-CL2.OBJ-see) tena (again)		ai
rafiki	Rafiki yangu anafanya kazi Mombasa.	My friend works in Mombasa.	2	rafiki (CL9-friend) y-angu (CL9-my) a-na-fanya (CL1-PRES-do) kazi (CL9-work) Mombasa		ai
huyu	Huyu ni dada yangu mdogo.	This is my younger sister.	2	huyu (CL1-this) ni (is) dada (CL9-sister) y-angu (CL9-my) m-dogo (CL1-small)		ai
yangu	Nyumba yangu iko karibu na soko.	My house is near the market.	3	nyumba (CL9-house) y-angu (CL9-my) i-ko (CL9-be.at) karibu na (near) soko (CL5-market)		ai
chakula	Chakula cha jioni kiko tayari.	The evening meal is ready.	3	chakula (CL7-food) cha (CL7-of) jioni (CL9-evening) ki-ko (CL7-be.at) tayari (ready)		ai
kinywaji	Ungependa kinywaji cha baridi?	Would you like a cold drink?	3	u-nge-penda (2SG-COND-like) kinywaji (CL7-drink) cha (CL7-of) baridi (CL9-cold)		ai
chai	Chai yangu imepoa, naomba nyingine.	My tea has gone cold; may I have another.	4	chai (CL9-tea) y-angu (CL9-my) i-me-poa (CL9-PERF-cool) na-omba (1SG.PRES-request) nyingine (CL9-another)		ai
wali	Wali wa nazi unanukia vizuri.	The coconut rice smells good.	4	wali (CL11-rice) wa (CL11-of) nazi (CL9-coconut) u-na-nukia (CL11-PRES-smell) vizuri (CL8-well)		ai
kitamu	Chakula hiki ni kitamu kuliko nilivyotarajia.	This food is tastier than I expected.	5	chakula (CL7-food) hiki (CL7-this) ni (is) ki-tamu (CL7-tasty) kuliko (than) ni-li-vyo-tarajia (1SG-PAST-CL8.REL-expect)		ai
naomba	Naomba maji ya kunywa, tafadhali.	May I have some drinking water, please.	2	na-omba (1SG.PRES-request) maji (CL6-water) ya (CL6-of) ku-nywa (INF-drink) tafadhali (please)		ai
tafadhali	Tafadhali nisaidie kubeba mzigo huu.	Please help me carry this load.	4	tafadhali (please) ni-saidi-e (1SG.OBJ-help-SUBJUNCTIVE) ku-beba (INF-carry) mzigo (CL3-load) huu (CL3-this)		ai
samahani	Samahani, sikukusikia vizuri.	Sorry, I did not hear you well.	4	samahani (sorry) si-ku-ku-sikia (1SG.NEG-PAST-2SG.OBJ-hear) vizuri (CL8-well)		ai
pole	Pole sana kwa msiba wa familia yenu.	I am very sorry for your family's loss.	4	pole (sympathy) sana (very) kwa (for) msiba (CL3-bereavement) wa (CL3-of) familia (CL9-family) y-enu (CL9-your.PL)		ai
karibu	Karibu nyumbani, tumekusubiri kwa muda.	Welcome home, we have been waiting for you a while.	4	karibu (welcome) nyumba-ni (CL9-house-LOC) tu-me-ku-subiri (1PL-PERF-2SG.OBJ-wait.for) kwa (for) muda (CL3-time)		ai
ndani	Watoto wanacheza ndani kwa sababu ya mvua.	The children are playing inside because of the rain.	3	wa-toto (CL2-child) wa-na-cheza (CL2-PRES-play) ndani (inside) kwa sababu ya (because.of) mvua (CL9-rain)		ai
nyumba	Nyumba zao ni kubwa kuliko zetu.	Their houses are bigger than ours.	4	nyumba (CL10-house) z-ao (CL10-their) ni (are) kubwa (CL10-big) kuliko (than) z-etu (CL10-our)		ai
mtoto	Mtoto mdogo analala kitandani.	The small child is sleeping in bed.	3	m-toto (CL1-child) m-dogo (CL1-small) a-na-lala (CL1-PRES-sleep) kitanda-ni (CL7-bed-LOC)		ai
miaka	Mwanangu ana miaka mitano.	My child is five years old.	3	mwana-ngu (CL1-child-my) a-na (CL1-have) mi-aka (CL4-year) mi-tano (CL4-five)		ai
miezi	Nimeishi hapa kwa miezi mitatu tu.	I have lived here for only three months.	4	ni-me-ishi (1SG-PERF-live) hapa (CL16-here) kwa (for) mi-ezi (CL4-month) mi-tatu (CL4-three) tu (only)		ai
ngapi	Una vitabu vingapi katika begi lako?	How many books do you have in your bag?	4	u-na (2SG-have) vi-tabu (CL8-book) vi-ngapi (CL8-how.many) katika (in) begi (CL5-bag) l-ako (CL5-your)		ai
saa	Saa ngapi tutaanza mkutano?	What time will we start the meeting?	3	saa (CL9-hour) ngapi (CL9-how.many) tu-ta-anza (1PL-FUT-begin) mkutano (CL3-meeting)		ai
mvua	Mvua ilinyesha usiku kucha.	It rained all night long.	4	mvua (CL9-rain) i-li-nyesha (CL9-PAST-fall) usiku (CL11-night) kucha (all.through)		ai
jua	Jua likichomoza, tutaondoka.	When the sun rises, we will leave.	5	jua (CL5-sun) li-ki-chomoza (CL5-COND/WHEN-rise) tu-ta-ondoka (1PL-FUT-depart)		ai
joto	Leo kuna joto kali mjini.	Today there is fierce heat in town.	3	leo (today) kuna (CL17-there.is) joto (CL5-heat) kali (CL5-fierce) mji-ni (CL3-town-LOC)		ai
pesa	Sina pesa za kutosha kununua tikiti.	I do not have enough money to buy a ticket.	4	si-na (1SG.NEG-have) pesa (CL10-money) za (CL10-of) ku-tosha (INF-suffice) ku-nunua (INF-buy) tikiti (CL9-ticket)		ai
nauli	Nauli ya basi imepanda mwaka huu.	The bus fare has gone up this year.	4	nauli (CL9-fare) ya (CL9-of) basi (CL5-bus) i-me-panda (CL9-PERF-rise) mwaka (CL3-year) huu (CL3-this)		ai
shilingi	Nilinunua matunda kwa shilingi mia mbili.	I bought fruit for two hundred shillings.	4	ni-li-nunua (1SG-PAST-buy) ma-tunda (CL6-fruit) kwa (for) shilingi (CL10-shilling) mia (hundred) mbili (two)		ai
kitabu	Kitabu changu kimepotea njiani.	My book got lost on the way.	4	kitabu (CL7-book) ch-angu (CL7-my) ki-me-potea (CL7-PERF-be.lost) njia-ni (CL9-road-LOC)		ai
vitabu	Vitabu vingi vimepangwa rafuni.	Many books are arranged on the shelf.	5	vi-tabu (CL8-book) vi-ngi (CL8-many) vi-me-pangwa (CL8-PERF-be.arranged) rafu-ni (CL9-shelf-LOC)		ai
paka	Paka wetu hulala jikoni mchana.	Our cat usually sleeps in the kitchen during the day.	4	paka (CL9-cat) w-etu (CL1-our) hu-lala (HABITUAL-sleep) jiko-ni (CL5-kitchen-LOC) mchana (CL3-daytime)		ai
mnyama	Mnyama huyu hupatikana msituni.	This animal is found in the forest.	4	m-nyama (CL1-animal) huyu (CL1-this) hu-patikana (HABITUAL-be.found) msitu-ni (CL3-forest-LOC)		ai
kutembea	Napenda kutembea ufuoni kila jioni.	I like walking on the beach every evening.	3	na-penda (1SG.PRES-like) ku-tembea (INF-walk) ufuo-ni (CL11-shore-LOC) kila (every) jioni (CL9-evening)		ai
uwanja	Uwanja wa ndege uko mbali na hoteli.	The airport is far from the hotel.	4	uwanja (CL11-field) wa (CL11-of) ndege (CL9-plane) u-ko (CL11-be.at) mbali na (far.from) hoteli (CL9-hotel)		ai
sinema	Tulikwenda sinema baada ya chakula.	We went to the cinema after the meal.	3	tu-li-kwenda (1PL-PAST-go) sinema (CL9-cinema) baada ya (after) chakula (CL7-food)		ai
ndege	Ndege yetu itaondoka saa tatu asubuhi.	Our plane will leave at nine in the morning.	4	ndege (CL9-plane) y-etu (CL9-our) i-ta-ondoka (CL9-FUT-depart) saa tatu (hour three = 9 a.m.) asubuhi (CL9-morning)		ai
safari	Safari ya kwenda Kisumu ilikuwa ndefu.	The journey to Kisumu was long.	4	safari (CL9-journey) ya (CL9-of) ku-enda (INF-go) Kisumu i-li-kuwa (CL9-PAST-be) ndefu (CL9-long)		ai
ofisi	Ofisi yake iko ghorofa ya pili.	His office is on the second floor.	4	ofisi (CL9-office) y-ake (CL9-his) i-ko (CL9-be.at) ghorofa (CL9-floor) ya (CL9-of) pili (second)		ai
biashara	Biashara yao imekua haraka mwaka huu.	Their business has grown quickly this year.	5	biashara (CL9-business) y-ao (CL9-their) i-me-kua (CL9-PERF-grow) haraka (quickly) mwaka (CL3-year) huu (CL3-this)		ai
darasa	Darasa letu lina wanafunzi thelathini.	Our class has thirty students.	4	darasa (CL5-class) l-etu (CL5-our) li-na (CL5-have) wa-nafunzi (CL2-student) thelathini (thirty)		ai
kalamu	Naomba kalamu yako kwa dakika moja.	May I borrow your pen for one minute.	3	na-omba (1SG.PRES-request) kalamu (CL9-pen) y-ako (CL9-your) kwa (for) dakika (CL9-minute) moja (one)		ai
jumamosi	Jumamosi ijayo tutasafiri pamoja.	Next Saturday we will travel together.	5	jumamosi (CL9-Saturday) i-ja-yo (CL9-come-CL9.REL = coming) tu-ta-safiri (1PL-FUT-travel) pamoja (together)		ai
ndoa	Walifunga ndoa mwezi uliopita.	They got married last month.	5	wa-li-funga (CL2-PAST-tie) ndoa (CL9-marriage) mwezi (CL3-month) u-li-o-pita (CL3-PAST-CL3.REL-pass = last)		ai
hongera	Hongera kwa kufaulu mtihani wako.	Congratulations on passing your exam.	3	hongera (congratulations) kwa (for) ku-faulu (INF-succeed) mtihani (CL3-exam) w-ako (CL3-your)		ai
sina	Sina habari zozote kuhusu jambo hilo.	I have no news at all about that matter.	5	si-na (1SG.NEG-have) habari (CL10-news) zo-zote (CL10-any) kuhusu (about) jambo (CL5-matter) hilo (CL5-that)		ai
je	Je, umeshawahi kutembelea Zanzibar?	Have you ever visited Zanzibar?	5	je (Q) u-me-sha-wahi (2SG-PERF-already-manage) ku-tembelea (INF-visit) Zanzibar		ai
napenda	Napenda muziki wa taarab.	I like taarab music.	2	na-penda (1SG.PRES-like) muziki (CL3-music) wa (CL3-of) taarab		ai
sipendi	Sipendi kuamka mapema siku za mapumziko.	I do not like waking up early at the weekend.	5	si-pend-i (1SG.NEG-like-NEG) ku-amka (INF-wake) mapema (early) siku (CL10-day) za (CL10-of) ma-pumziko (CL6-rest)		ai
ningependa	Ningependa kuona menyu, tafadhali.	I would like to see the menu, please.	3	ni-nge-penda (1SG-COND-like) ku-ona (INF-see) menyu (CL9-menu) tafadhali (please)		ai
ungependa	Ungependa kahawa au chai?	Would you like coffee or tea?	3	u-nge-penda (2SG-COND-like) kahawa (CL9-coffee) au (or) chai (CL9-tea)		ai
tumefika	Tumefika mapema kuliko tulivyopanga.	We have arrived earlier than we planned.	5	tu-me-fika (1PL-PERF-arrive) mapema (early) kuliko (than) tu-li-vyo-panga (1PL-PAST-CL8.REL-plan)		ai
niko	Niko njiani, nitafika baada ya dakika kumi.	I am on the way; I will arrive in ten minutes.	4	ni-ko (1SG-be.at) njia-ni (CL9-road-LOC) ni-ta-fika (1SG-FUT-arrive) baada ya (after) dakika (CL10-minute) kumi (ten)		ai
kupika	Bibi yangu anajua kupika samaki vizuri.	My grandmother knows how to cook fish well.	4	bibi (CL9-grandmother) y-angu (CL9-my) a-na-jua (CL1-PRES-know) ku-pika (INF-cook) samaki (CL9-fish) vizuri (CL8-well)		ai
kunywa	Watoto wanataka kunywa maziwa.	The children want to drink milk.	3	wa-toto (CL2-child) wa-na-taka (CL2-PRES-want) ku-nywa (INF-drink) maziwa (CL6-milk)		ai
kukula	Tunapenda kukula pamoja kila Jumapili.	We like eating together every Sunday.	3	tu-na-penda (1PL-PRES-like) ku-la (INF-eat) pamoja (together) kila (every) jumapili (CL9-Sunday)		ai
nunua	Nunua mkate mmoja ukirudi.	Buy one loaf of bread when you come back.	4	nunua (buy.IMP) mkate (CL3-bread) m-moja (CL3-one) u-ki-rudi (2SG-WHEN-return)		ai
mvinyo	Mvinyo huu unatoka Afrika Kusini.	This wine comes from South Africa.	4	mvinyo (CL3-wine) huu (CL3-this) u-na-toka (CL3-PRES-come.from) Afrika Kusini (South Africa)		ai
ukweli	Ukweli daima hujitokeza mwishowe.	The truth always emerges in the end.	6	ukweli (CL11-truth) daima (always) hu-ji-tokeza (HABITUAL-REFL-bring.out) mwisho-we (CL3-end-finally)		ai
manukato	Manukato haya yananukia waridi.	This perfume smells of roses.	5	ma-nukato (CL6-perfume) haya (CL6-this) ya-na-nukia (CL6-PRES-smell.of) waridi (CL9-rose)		ai
zawadi	Nilimpa zawadi ndogo siku ya kuzaliwa.	I gave him a small gift on his birthday.	5	ni-li-m-pa (1SG-PAST-CL1.OBJ-give) zawadi (CL9-gift) ndogo (CL9-small) siku (CL9-day) ya (CL9-of) ku-zaliwa (INF-be.born)		ai
hospitali	Dada yangu anafanya kazi hospitalini.	My sister works at the hospital.	3	dada (CL9-sister) y-angu (CL9-my) a-na-fanya (CL1-PRES-do) kazi (CL9-work) hospitali-ni (CL9-hospital-LOC)		ai
mapacha	Mapacha wale wanafanana sana.	Those twins resemble each other closely.	5	ma-pacha (CL6-twin) wale (CL2-those) wa-na-fanana (CL2-PRES-resemble.each.other) sana (very)		ai
mkubwa	Mji mkubwa una msongamano mwingi.	A big city has a lot of congestion.	5	mji (CL3-town) m-kubwa (CL3-big) u-na (CL3-have) msongamano (CL3-congestion) m-wingi (CL3-much)		ai
kali	Pilipili hii ni kali mno.	This chilli is far too hot.	4	pilipili (CL9-chilli) hii (CL9-this) ni (is) kali (CL9-hot) mno (excessively)		ai
tayari	Mizigo yetu iko tayari mlangoni.	Our luggage is ready at the door.	4	mi-zigo (CL4-luggage) y-etu (CL4-our) i-ko (CL4-be.at) tayari (ready) mlango-ni (CL3-door-LOC)		ai
sema	Sema polepole ili nikuelewe.	Speak slowly so that I understand you.	5	sema (speak.IMP) polepole (slowly) ili (so.that) ni-ku-elew-e (1SG-2SG.OBJ-understand-SUBJUNCTIVE)		ai
msala	Msala uko upande wa kulia.	The toilet is on the right-hand side.	4	msala (CL3-toilet) u-ko (CL3-be.at) upande (CL11-side) wa (CL11-of) ku-lia (INF-right)		ai
kuamka	Ninaamka saa kumi na moja kila siku.	I wake up at five every day.	3	ni-na-amka (1SG-PRES-wake) saa (CL9-hour) kumi na moja (eleven) kila (every) siku (CL9-day)		ai
mazoezi	Hufanya mazoezi kabla ya kwenda kazini.	He usually exercises before going to work.	5	hu-fanya (HABITUAL-do) ma-zoezi (CL6-exercise) kabla ya (before) kw-enda (INF-go) kazi-ni (CL9-work-LOC)		ai
kuoga	Baada ya kukimbia ninapenda kuoga.	After running I like to shower.	4	baada ya (after) ku-kimbia (INF-run) ni-na-penda (1SG-PRES-like) ku-oga (INF-bathe)		ai
nguvu	Asubuhi huwa nina nguvu nyingi.	In the morning I usually have a lot of energy.	5	asubuhi (CL9-morning) hu-wa (HABITUAL-be) ni-na (1SG-have) nguvu (CL10-strength) nyingi (CL10-much)		ai
nywele	Nywele zake ni ndefu na nyeusi.	Her hair is long and black.	4	nywele (CL10-hair) z-ake (CL10-her) ni (are) ndefu (CL10-long) na (and) nyeusi (CL10-black)		ai
mgeni	Mgeni wetu atafika jioni ya leo.	Our guest will arrive this evening.	4	m-geni (CL1-guest) w-etu (CL1-our) a-ta-fika (CL1-FUT-arrive) jioni (CL9-evening) ya (CL9-of) leo (today)		ai
aina	Duka hili linauza aina nyingi za viatu.	This shop sells many kinds of shoes.	5	duka (CL5-shop) hili (CL5-this) li-na-uza (CL5-PRES-sell) aina (CL10-kind) nyingi (CL10-many) za (CL10-of) vi-atu (CL8-shoe)		ai
elimu	Elimu ni ufunguo wa maisha bora.	Education is the key to a better life.	5	elimu (CL9-education) ni (is) ufunguo (CL11-key) wa (CL11-of) maisha (CL6-life) bora (better)		ai
kama	Kama mvua itanyesha, tutakaa ndani.	If it rains, we will stay indoors.	4	kama (if) mvua (CL9-rain) i-ta-nyesha (CL9-FUT-fall) tu-ta-kaa (1PL-FUT-stay) ndani (inside)		ai
kufuzu	Alifuzu mtihani wake kwa alama nzuri.	She passed her exam with good marks.	5	a-li-fuzu (CL1-PAST-pass) mtihani (CL3-exam) w-ake (CL3-her) kwa (with) alama (CL10-mark) nzuri (CL10-good)		ai
kutakia	Ninakutakia kila la heri katika kazi mpya.	I wish you all the best in your new job.	6	ni-na-ku-takia (1SG-PRES-2SG.OBJ-wish) kila (every) la heri (CL5-of blessing) katika (in) kazi (CL9-work) mpya (CL9-new)		ai
kuagiza	Tuliagiza kahawa mbili na keki moja.	We ordered two coffees and one cake.	4	tu-li-agiza (1PL-PAST-order) kahawa (CL10-coffee) mbili (two) na (and) keki (CL9-cake) moja (one)		ai
mdosi	Mdosi wangu anataka ripoti kesho asubuhi.	My boss wants the report tomorrow morning.	5	m-dosi (CL1-boss) w-angu (CL1-my) a-na-taka (CL1-PRES-want) ripoti (CL9-report) kesho (tomorrow) asubuhi (CL9-morning)		ai
vitafunio	Tulinunua vitafunio kwa safari ndefu.	We bought snacks for the long journey.	4	tu-li-nunua (1PL-PAST-buy) vi-tafunio (CL8-snack) kwa (for) safari (CL9-journey) ndefu (CL9-long)		ai
kuamua	Tumeamua kuahirisha mkutano hadi Jumatatu.	We have decided to postpone the meeting until Monday.	6	tu-me-amua (1PL-PERF-decide) ku-ahirisha (INF-postpone) mkutano (CL3-meeting) hadi (until) Jumatatu (CL9-Monday)		ai
kijana	Kijana yule anafanya kazi benki.	That young man works at a bank.	4	kijana (CL7-youth) yule (CL1-that) a-na-fanya (CL1-PRES-do) kazi (CL9-work) benki (CL9-bank)		ai
mtaa	Watoto wanacheza mitaani jioni.	The children play in the streets in the evening.	4	wa-toto (CL2-child) wa-na-cheza (CL2-PRES-play) mitaa-ni (CL4-street-LOC) jioni (CL9-evening)		ai
mwanafunzi	Mwanafunzi huyu husoma kwa bidii.	This student studies diligently.	4	mwanafunzi (CL1-student) huyu (CL1-this) hu-soma (HABITUAL-study) kwa (with) bidii (CL9-diligence)		ai
mtihani	Mtihani wa mwisho utafanyika Desemba.	The final exam will take place in December.	5	mtihani (CL3-exam) wa (CL3-of) mwisho (CL3-end) u-ta-fanyika (CL3-FUT-take.place) Desemba (December)		ai
kuimba	Kwaya iliimba wimbo mzuri sana.	The choir sang a very beautiful song.	5	kwaya (CL9-choir) i-li-imba (CL9-PAST-sing) wimbo (CL3-song) m-zuri (CL3-good) sana (very)		ai
somo	Somo la leo linahusu historia ya pwani.	Today's lesson is about the history of the coast.	5	somo (CL5-lesson) la (CL5-of) leo (today) li-na-husu (CL5-PRES-concern) historia (CL9-history) ya (CL9-of) pwani (CL9-coast)		ai
mwaliko	Nilipokea mwaliko wa harusi jana.	I received a wedding invitation yesterday.	5	ni-li-pokea (1SG-PAST-receive) mwaliko (CL3-invitation) wa (CL3-of) harusi (CL9-wedding) jana (yesterday)		ai
msichana	Msichana yule anasoma chuo kikuu.	That girl studies at university.	4	m-sichana (CL1-girl) yule (CL1-that) a-na-soma (CL1-PRES-study) chuo (CL7-college) ki-kuu (CL7-great)		ai
kukubali	Alikubali ombi letu bila kusita.	He accepted our request without hesitating.	6	a-li-kubali (CL1-PAST-accept) ombi (CL5-request) l-etu (CL5-our) bila (without) ku-sita (INF-hesitate)		ai
harusi	Harusi yao itafanyika mwezi ujao.	Their wedding will take place next month.	5	harusi (CL9-wedding) y-ao (CL9-their) i-ta-fanyika (CL9-FUT-take.place) mwezi (CL3-month) u-ja-o (CL3-come-REL = next)		ai
duka	Duka la kona hufunguliwa mapema.	The corner shop opens early.	5	duka (CL5-shop) la (CL5-of) kona (CL9-corner) hu-funguliwa (HABITUAL-be.opened) mapema (early)		ai
mpenzi	Mpenzi wangu anaishi Dar es Salaam.	My partner lives in Dar es Salaam.	4	mpenzi (CL1-beloved) w-angu (CL1-my) a-na-ishi (CL1-PRES-live) Dar es Salaam		ai
uhusiano	Uhusiano wao umedumu miaka mingi.	Their relationship has lasted many years.	6	uhusiano (CL11-relationship) w-ao (CL11-their) u-me-dumu (CL11-PERF-last) mi-aka (CL4-year) mi-ngi (CL4-many)		ai
maisha	Maisha ya mjini ni ghali kuliko ya kijijini.	Town life is more expensive than village life.	6	maisha (CL6-life) ya (CL6-of) mji-ni (CL3-town-LOC) ni (are) ghali (expensive) kuliko (than) ya (CL6-of) kijiji-ni (CL7-village-LOC)		ai
kuku	Tuliagiza kuku wa kuchoma na wali.	We ordered grilled chicken and rice.	5	tu-li-agiza (1PL-PAST-order) kuku (CL9-chicken) wa (CL1-of) ku-choma (INF-grill) na (and) wali (CL11-rice)		ai
kuchemsha	Chemsha maji kabla ya kuyanywa.	Boil the water before drinking it.	6	chemsha (boil.IMP) maji (CL6-water) kabla ya (before) ku-ya-nywa (INF-CL6.OBJ-drink)		ai
mafuta	Chakula hiki kina mafuta mengi mno.	This food has far too much oil.	5	chakula (CL7-food) hiki (CL7-this) ki-na (CL7-have) mafuta (CL6-oil) m-engi (CL6-much) mno (excessively)		ai
kuuliza	Naomba kuuliza swali moja tu.	May I ask just one question.	4	na-omba (1SG.PRES-request) ku-uliza (INF-ask) swali (CL5-question) moja (one) tu (only)		ai
kelele	Kelele za mtaani zilinizuia kulala.	The noise from the street stopped me sleeping.	6	kelele (CL10-noise) za (CL10-of) mtaa-ni (CL3-street-LOC) zi-li-ni-zuia (CL10-PAST-1SG.OBJ-prevent) ku-lala (INF-sleep)		ai
kurudia	Tafadhali rudia ulichosema.	Please repeat what you said.	6	tafadhali (please) rudia (repeat.IMP) u-li-cho-sema (2SG-PAST-CL7.REL-say)		ai
kuahidi	Aliahidi kurudi kabla ya giza.	He promised to return before dark.	5	a-li-ahidi (CL1-PAST-promise) ku-rudi (INF-return) kabla ya (before) giza (CL5-darkness)		ai
kukasirika	Alikasirika alipoona kazi haijafanyika.	She got angry when she saw the work had not been done.	7	a-li-kasirika (CL1-PAST-be.angry) a-li-po-ona (CL1-PAST-CL16.REL-see) kazi (CL9-work) ha-i-ja-fanyika (NEG-CL9-not.yet-be.done)		ai
msongamano	Nilichelewa kwa sababu ya msongamano wa magari.	I was late because of the traffic congestion.	6	ni-li-chelewa (1SG-PAST-be.late) kwa sababu ya (because.of) msongamano (CL3-congestion) wa (CL3-of) ma-gari (CL6-car)		ai
kuchoka	Tumechoka baada ya safari ndefu.	We are tired after the long journey.	4	tu-me-choka (1PL-PERF-be.tired) baada ya (after) safari (CL9-journey) ndefu (CL9-long)		ai
kuharibika	Mashine zimeharibika tangu wiki iliyopita.	The machines have been broken since last week.	7	mashine (CL10-machine) zi-me-haribika (CL10-PERF-break.down) tangu (since) wiki (CL9-week) i-li-yo-pita (CL9-PAST-CL9.REL-pass)		ai
rangi	Napenda rangi ya buluu kuliko nyekundu.	I prefer blue to red.	4	na-penda (1SG.PRES-like) rangi (CL9-colour) ya (CL9-of) buluu (blue) kuliko (than) nyekundu (CL9-red)		ai
kupima	Naomba kupima sketi hii kabla ya kununua.	May I try on this skirt before buying it.	5	na-omba (1SG.PRES-request) ku-pima (INF-try.on) sketi (CL9-skirt) hii (CL9-this) kabla ya (before) ku-nunua (INF-buy)		ai
ukubwa	Ukubwa huu ni mkubwa mno kwangu.	This size is far too big for me.	5	ukubwa (CL11-size) huu (CL11-this) ni (is) m-kubwa (CL11-big) mno (excessively) kw-angu (CL17-for.me)		ai
upepo	Upepo mkali ulivunja matawi ya miti.	The strong wind broke the branches of the trees.	6	upepo (CL11-wind) m-kali (CL11-fierce) u-li-vunja (CL11-PAST-break) ma-tawi (CL6-branch) ya (CL6-of) mi-ti (CL4-tree)		ai
majira	Majira ya mvua huanza Machi.	The rainy season usually begins in March.	5	majira (CL6-season) ya (CL6-of) mvua (CL9-rain) hu-anza (HABITUAL-begin) Machi (March)		ai
kuzoea	Nimezoea hali ya hewa ya hapa.	I have got used to the weather here.	5	ni-me-zoea (1SG-PERF-be.accustomed) hali (CL9-condition) ya (CL9-of) hewa (CL9-air) ya (CL9-of) hapa (CL16-here)		ai
mtalii	Mtalii huyu anatoka Ujerumani.	This tourist comes from Germany.	4	m-talii (CL1-tourist) huyu (CL1-this) a-na-toka (CL1-PRES-come.from) Ujerumani (CL11-Germany)		ai
pasipoti	Onyesha pasipoti yako kwa afisa.	Show your passport to the officer.	5	onyesha (show.IMP) pasipoti (CL9-passport) y-ako (CL9-your) kwa (to) afisa (CL1-officer)		ai
kuvuka	Tulivuka mpaka bila matatizo.	We crossed the border without problems.	5	tu-li-vuka (1PL-PAST-cross) mpaka (CL3-border) bila (without) ma-tatizo (CL6-problem)		ai
likizo	Tutakwenda likizo mwezi wa kumi na mbili.	We will go on holiday in December.	5	tu-ta-kw-enda (1PL-FUT-INF-go) likizo (CL9-holiday) mwezi (CL3-month) wa (CL3-of) kumi na mbili (twelve)		ai
hema	Tulipiga hema karibu na mto.	We pitched the tent near the river.	5	tu-li-piga (1PL-PAST-hit) hema (CL9-tent) karibu na (near) mto (CL3-river)		ai
kupanga	Tunapanga safari ya kwenda Lamu.	We are planning a trip to Lamu.	4	tu-na-panga (1PL-PRES-plan) safari (CL9-journey) ya (CL9-of) kw-enda (INF-go) Lamu		ai
ufuo	Watoto wanacheza ufuoni asubuhi.	The children are playing on the beach in the morning.	5	wa-toto (CL2-child) wa-na-cheza (CL2-PRES-play) ufuo-ni (CL11-beach-LOC) asubuhi (CL9-morning)		ai
hesabu	Mwanangu ni hodari katika hesabu.	My child is good at mathematics.	4	mwana-ngu (CL1-child-my) ni (is) hodari (skilful) katika (in) hesabu (CL9-mathematics)		ai
asilimia	Bei imepungua kwa asilimia ishirini.	The price has dropped by twenty per cent.	6	bei (CL9-price) i-me-pungua (CL9-PERF-decrease) kwa (by) asilimia (CL9-percentage) ishirini (twenty)		ai
jibu	Jibu lake halikuwa sahihi.	His answer was not correct.	6	jibu (CL5-answer) l-ake (CL5-his) ha-li-ku-wa (NEG-CL5-PAST-be) sahihi (correct)		ai
kuumwa	Ninaumwa na kichwa tangu asubuhi.	I have had a headache since morning.	5	ni-na-umwa (1SG-PRES-be.hurt) na (by) kichwa (CL7-head) tangu (since) asubuhi (CL9-morning)		ai
miadi	Nina miadi na daktari saa nne.	I have an appointment with the doctor at ten.	4	ni-na (1SG-have) miadi (CL9-appointment) na (with) daktari (CL5-doctor) saa (CL9-hour) nne (four)		ai
