word	sentence	translation	difficulty_rank	gloss	transliteration	source
언제든지	언제든지 저에게 전화해요.	Call me any time.	3			ai
필독	이 책은 학생들에게 필독이에요.	This book is a must-read for students.	5			ai
짓	동생이 또 이상한 짓을 했니?	Did your little brother do something strange again?	4			ai
몇	너는 몇 반이니?	What class are you in?	2			ai
냄새	부엌에서 좋은 냄새가 나요.	A nice smell is coming from the kitchen.	1			ai
영화	우리는 주말에 영화를 두 번 봤어요.	We watched movies twice on the weekend.	2			ai
대학교	제 언니는 서울에 있는 대학교에 다녀요.	My older sister attends a university in Seoul.	2			ai
치마	저는 어제 시장에서 치마를 두 개 샀어요.	I bought two skirts at the market yesterday.	2			ai
쪽	역은 이쪽이 아니고 저쪽이에요.	The station isn't this way; it's that way.	2			ai
반장	우리 반의 반장은 아주 친절해요.	Our class president is very kind.	2			ai
벌금	주차 벌금을 어제 냈어요.	I paid the parking fine yesterday.	3			ai
차지하다	그 소파는 자리를 너무 많이 차지해요.	That sofa takes up too much space.	3			ai
많이	저는 오늘 물을 많이 마셨어요.	I drank a lot of water today.	1			ai
눈보라	어젯밤에 눈보라 때문에 학교에 못 갔어요.	I couldn't go to school last night because of the blizzard.	3			ai
뉴스	아버지는 아침마다 뉴스를 봐요.	My father watches the news every morning.	1			ai
전쟁	그 작품은 전쟁에 대한 이야기예요.	That work is a story about war.	3			ai
날짜	회의 날짜를 변경했어요.	We changed the date of the meeting.	2			ai
변경하다	선생님이 시험 날짜를 변경했어요.	The teacher changed the exam date.	2			ai
그릇	그릇 세 개를 씻었어요.	I washed three bowls.	2			ai
손톱	제 동생은 손톱을 짧게 자르지 않아요.	My younger sibling doesn't cut their fingernails short.	3			ai
손등	손등에 눈이 떨어졌어요.	Snow fell on the back of my hand.	3			ai
독자	이 신문의 독자는 대부분 젊은 사람이에요.	Most readers of this newspaper are young people.	3			ai
부부	옆집 부부는 개를 두 마리 키워요.	The couple next door raises two dogs.	3			ai
들르다	집에 가기 전에 서점에 들를 거예요.	I'll stop by the bookstore before going home.	3			ai
내려가다	저는 지하실로 내려갔어요.	I went down to the basement.	2			ai
내려오다	아이가 계단에서 천천히 내려왔어요.	The child came down the stairs slowly.	2			ai
발표하다	회사는 새 계획을 다음 주에 발표할 거예요.	The company will announce the new plan next week.	3			ai
드러나다	그 사실이 뉴스에서 드러났어요.	That fact was revealed on the news.	4			ai
드러내다	그는 자기 감정을 잘 드러내지 않아요.	He doesn't reveal his feelings easily.	4			ai
섬세하다	이 작품은 아주 섬세해요.	This piece of work is very delicate.	4			ai
푸르다	여름 바다는 정말 푸르러요.	The summer sea is really blue.	4			ai
대부분	학생들은 대부분 도서관에 있어요.	Most of the students are in the library.	2			ai
송이	저는 꽃 한 송이를 받았어요.	I received a single flower.	3			ai
종류	이 가게는 셔츠 세 종류를 팔아요.	This shop sells three types of shirts.	3			ai
가지	저는 두 가지 색을 좋아해요.	I like two kinds of colors.	3			ai
그렇다	그런 뉴스는 믿지 마세요.	Don't believe news like that.	3			ai
이렇다	이런 날씨에는 밖에 나가고 싶지 않아요.	I don't want to go out in weather like this.	3			ai
보라색	제 방의 커튼은 보라색이에요.	The curtains in my room are purple.	1			ai
회색	회색 셔츠가 저에게 잘 맞아요.	The gray shirt fits me well.	2			ai
갈색	저는 갈색 그릇을 하나 샀어요.	I bought one brown bowl.	2			ai
초록색	봄에는 산이 초록색이 돼요.	In spring the mountains become green.	2			ai
연두색	연두색 셔츠를 입은 사람이 제 친구예요.	The person wearing the light green shirt is my friend.	3			ai
분홍색	분홍색 꽃 한 송이를 책상에 놓았어요.	I put a single pink flower on the desk.	2			ai
젓가락	저는 젓가락으로 국수를 먹어요.	I eat noodles with chopsticks.	1			ai
혀	뜨거운 국 때문에 혀를 데었어요.	I burned my tongue because of the hot soup.	2			ai
지갑	지갑을 기숙사에 두고 왔어요.	I left my wallet in the dorm.	2			ai
기숙사	새 기숙사는 학교 안에 있어요.	The new dorm is inside the school.	1			ai
주소	이 편지에 주소를 쓰세요.	Please write the address on this letter.	1			ai
메뉴	이 식당은 메뉴가 아주 많아요.	This restaurant has a very big menu.	1			ai
아시아	아시아에는 나라가 많아요.	There are many countries in Asia.	1			ai
동남아시아	저는 겨울에 동남아시아에 가고 싶어요.	I want to go to South East Asia in the winter.	2			ai
눈물	그 영화를 보고 눈물이 났어요.	I shed tears after watching that movie.	2			ai
회의	회의가 끝난 후에 점심을 먹었어요.	After the meeting ended, I had lunch.	2			ai
고향	제 고향은 아주 작은 마을이에요.	My hometown is a very small village.	1			ai
휴일	휴일에 하루 종일 잤어요.	I slept all day long on the holiday.	2			ai
아기	아기가 낮잠을 자고 있어요.	The baby is taking a nap.	1			ai
산책하다	저는 저녁을 먹은 후에 산책해요.	I go for a walk after eating dinner.	2			ai
사귀다	그들은 2년 동안 사귀었어요.	They dated for two years.	2			ai
무관심하다	그 사람은 정치에 무관심해요.	That person is indifferent to politics.	3			ai
심하다	오늘은 감기가 너무 심해요.	My cold is very severe today.	2			ai
하루 종일	저는 하루 종일 집에 있었어요.	I was at home all day long.	1			ai
예전	예전에 이곳은 시장이었어요.	In the old days this place was a market.	2			ai
관심이 있다	저는 한국 역사에 관심이 있어요.	I am interested in Korean history.	2			ai
이때	이때 아무도 말을 하지 않았어요.	At this moment nobody said a word.	3			ai
마다	저는 아침마다 커피를 마셔요.	I drink coffee every morning.	1			ai
언제든지	언제든지 저에게 전화하세요.	Call me anytime.	2			ai
데	저는 조용한 데에서 공부하고 싶어요.	I want to study in a quiet place.	2			ai
모든 것	모든 것이 잘 될 거예요.	Everything will go well.	2			ai
전	저는 회의 전에 주소를 확인했어요.	I checked the address before the meeting.	2			ai
후	세 시간 후에 다시 올게요.	I will come again three hours from now.	2			ai
직전	시험 직전에 물을 마셨어요.	I drank water right before the exam.	3			ai
직후	수업 직후에 도서관에 갔어요.	I went to the library right after class.	3			ai
이내	우리는 1년 이내에 결혼할 거예요.	We will get married within one year.	3			ai
이래로	한국에 온 이래로 김치를 매일 먹어요.	Since coming to Korea I have eaten kimchi every day.	4			ai
안	나는 집 안에 있다.	I am inside the house.	1			ai
모두	학생 모두가 회의에 갔어요.	All of the students went to the meeting.	2			ai
다	저는 숙제를 다 했어요.	I did all of my homework.	1			ai
모든	모든 학생이 시험을 봤어요.	Every student took the exam.	1			ai
어디나	여기는 어디나 사람이 많아요.	There are a lot of people everywhere here.	2			ai
언제나	저는 언제나 같은 버스를 타요.	I always take the same bus.	2			ai
누구나	누구나 실수를 해요.	Everyone makes mistakes.	2			ai
뭔가	가방에 뭔가 있어요.	There is something in the bag.	2			ai
어딘가	열쇠를 어딘가에 두었어요.	I put my keys somewhere.	2			ai
언젠가	언젠가 아시아를 다 여행하고 싶어요.	Someday I want to travel all around Asia.	3			ai
누군가	누군가 제 이름을 불렀어요.	Somebody called my name.	2			ai
아무나	이 일은 아무나 할 수 있어요.	Anybody can do this job.	2			ai
아무도	집에 아무도 없어요.	There is nobody at home.	2			ai
아무 거나	저는 아무 거나 먹어도 괜찮아요.	I'm fine eating anything.	3			ai
아무 데나	아무 데나 앉으세요.	Please sit anywhere.	3			ai
아무 때나	아무 때나 오세요.	Come anytime.	3			ai
아무 것도	저는 아침에 아무 것도 안 먹었어요.	I didn't eat anything in the morning.	3			ai
아무 데도	어제는 아무 데도 안 갔어요.	I didn't go anywhere yesterday.	3			ai
어느	어느 겨울 눈이 아주 많이 왔다.	One winter it snowed a great deal.	4			ai
공원	저는 공원에 가고 싶어요	I want to go to the park.	1			ai
아무 데나	저는 아무 데나 가고 싶어요	I want to go anywhere.	2			ai
아무 데서나	저는 아무 데서나 먹고 싶어요	I want to eat anywhere.	2			ai
아무 것도	저는 아무 것도 먹고 싶지 않아요	I don't want to eat anything.	2			ai
아무 데도	아기는 아무 데도 가지 않았어	The baby didn't go anywhere.	2			ai
버스	저는 아무 버스나 타고 갈 거예요	I'm going to take any bus and leave.	3			ai
말	저는 아무 말도 하지 않았어요	I didn't say anything.	2			ai
관계	저는 엄마랑 아무 관계도 없어요	I have no relationship with my mother.	3			ai
고르다	아무 거나 고르세요!	Choose anything!	2			ai
아무나	아무나 그것을 할 수 있어요	Anybody can do that.	3			ai
두다	가방을 아무 데나 두세요	Put your bag down anywhere.	3			ai
마다	이 버스는 10 분마다 와요	This bus comes every 10 minutes.	2			ai
다르다	학생마다 달라요	Each student is different.	2			ai
날	날마다 = each day	each day	1			ai
금요일	금요일마다 친구를 만나요	I meet my friend every Friday.	2			ai
운전하다	저는 그 차를 운전하고 싶어요	I want to drive that car.	2			ai
수영	수영을 못해	I'm not good at swimming.	2			ai
잘하다	한국어를 잘해	I'm good at Korean.	2			ai
저녁식사	엄마가 온 후에 저는 저녁식사를 먹을 거예요	I will eat dinner after mom comes.	3			ai
탁자	이 탁자는 얼마예요?	How much is this table?	2			ai
얼마나 자주	여기에 얼마나 자주 와요?	How often do you come here?	2			ai
날씨	날씨가 추워졌어요	The weather got cold.	2			ai
강아지	강아지는 고양이랑 쥐보다 더 커요	The dog is bigger than the cat and the mouse.	3			ai
학생	학생마다 다른 책을 읽었어요	Each student read a different book.	3			ai
아무도	아무도 그렇게 하지 않아요	Nobody does it like that.	3			ai
