word	sentence	translation	difficulty_rank	transliteration	source
پایین	او در سن پایین ازدواج کرد.	She married young.	834		tatoeba
ازدواج	او در سن پایین ازدواج کرد.	She married young.	834		tatoeba
سن	او در سن پایین ازدواج کرد.	She married young.	834		tatoeba
عدد	سن فقط یک عدد است.	Age is just a number.	834		tatoeba
فقط	سن فقط یک عدد است.	Age is just a number.	834		tatoeba
سن	سن فقط یک عدد است.	Age is just a number.	834		tatoeba
شکست	شکست بهترین راه برای یاد گرفتن است.	Failure is the best way to learn.	835		tatoeba
یاد	شکست بهترین راه برای یاد گرفتن است.	Failure is the best way to learn.	835		tatoeba
راه	شکست بهترین راه برای یاد گرفتن است.	Failure is the best way to learn.	835		tatoeba
گرفتن	شکست بهترین راه برای یاد گرفتن است.	Failure is the best way to learn.	835		tatoeba
بعضی	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
موسیقی	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
گوش	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
زبان	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
مانند	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
اما	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
هستند	موسیقی زبان نیست. اما بعضی زبان‌ها در گوش من مانند موسیقی هستند.	Music is not a language. But some languages are music to my ears.	845		tatoeba
آماده	آماده، بی حرکت.... حرکت!	Ready, steady....Go!	847		tatoeba
بی	آماده، بی حرکت.... حرکت!	Ready, steady....Go!	847		tatoeba
حرکت	آماده، بی حرکت.... حرکت!	Ready, steady....Go!	847		tatoeba
کردن	هر روز ورزش کردن بی اندازه مهم است.	It's extremely important to do sport every day.	848		tatoeba
هر	هر روز ورزش کردن بی اندازه مهم است.	It's extremely important to do sport every day.	848		tatoeba
بی	هر روز ورزش کردن بی اندازه مهم است.	It's extremely important to do sport every day.	848		tatoeba
ورزش	هر روز ورزش کردن بی اندازه مهم است.	It's extremely important to do sport every day.	848		tatoeba
اندازه	هر روز ورزش کردن بی اندازه مهم است.	It's extremely important to do sport every day.	848		tatoeba
دنبال	ما به دنبال چه هستیم؟	What are we after?	855		tatoeba
استفاده	به او اجازه داده شد که از دستگاه استفاده کند.	He was accorded permission to use the device.	865		tatoeba
دستگاه	به او اجازه داده شد که از دستگاه استفاده کند.	He was accorded permission to use the device.	865		tatoeba
داده	به او اجازه داده شد که از دستگاه استفاده کند.	He was accorded permission to use the device.	865		tatoeba
اجازه	به او اجازه داده شد که از دستگاه استفاده کند.	He was accorded permission to use the device.	865		tatoeba
گفت	او گفت که برای ترک کردن آماده نیست.	She said she's not ready to leave.	866		tatoeba
ترک	او گفت که برای ترک کردن آماده نیست.	She said she's not ready to leave.	866		tatoeba
ترک	او قبلاً ترک کرده است.	He has left already.	866		tatoeba
کرده	او قبلاً ترک کرده است.	He has left already.	866		tatoeba
بیرون	بیرون ماندن راحت‌تر از بیرون رفتن است.	It is easier to stay out than to get out.	870		tatoeba
تر	بیرون ماندن راحت‌تر از بیرون رفتن است.	It is easier to stay out than to get out.	870		tatoeba
راحت	بیرون ماندن راحت‌تر از بیرون رفتن است.	It is easier to stay out than to get out.	870		tatoeba
ماندن	بیرون ماندن راحت‌تر از بیرون رفتن است.	It is easier to stay out than to get out.	870		tatoeba
رفتن	بیرون ماندن راحت‌تر از بیرون رفتن است.	It is easier to stay out than to get out.	870		tatoeba
درون	این جعبه خالی است. هیچ چیز درون آن نیست.	This box is empty. It has nothing in it.	877		tatoeba
جعبه	این جعبه خالی است. هیچ چیز درون آن نیست.	This box is empty. It has nothing in it.	877		tatoeba
چیز	این جعبه خالی است. هیچ چیز درون آن نیست.	This box is empty. It has nothing in it.	877		tatoeba
هیچ	این جعبه خالی است. هیچ چیز درون آن نیست.	This box is empty. It has nothing in it.	877		tatoeba
باز	حقوق کم او او را از خانه خریدن باز می دارد.	His low salary prevents him from buying the house.	878		tatoeba
خریدن	حقوق کم او او را از خانه خریدن باز می دارد.	His low salary prevents him from buying the house.	878		tatoeba
حقوق	حقوق کم او او را از خانه خریدن باز می دارد.	His low salary prevents him from buying the house.	878		tatoeba
کم	حقوق کم او او را از خانه خریدن باز می دارد.	His low salary prevents him from buying the house.	878		tatoeba
تحت	مردم تحت فشار هستند.	The people are under pressure.	880		tatoeba
فشار	مردم تحت فشار هستند.	The people are under pressure.	880		tatoeba
مردم	مردم تحت فشار هستند.	The people are under pressure.	880		tatoeba
مناسب	آن مناسب است.	That is appropriate.	884		tatoeba
برنامه	همه چیز طبق برنامه است.	Everything is on schedule.	889		tatoeba
طبق	همه چیز طبق برنامه است.	Everything is on schedule.	889		tatoeba
هتل	هتل ما در خیابان بعدی است.	Our hotel is on the next street.	893		tatoeba
خیابان	هتل ما در خیابان بعدی است.	Our hotel is on the next street.	893		tatoeba
بعدی	هتل ما در خیابان بعدی است.	Our hotel is on the next street.	893		tatoeba
دلار	قیمت این کتاب 4 دلار است.	This book costs 4 dollars.	895		tatoeba
قیمت	قیمت این کتاب 4 دلار است.	This book costs 4 dollars.	895		tatoeba
هنر	ترجمه یک هنر است.	Translation is an art.	903		tatoeba
ترجمه	ترجمه یک هنر است.	Translation is an art.	903		tatoeba
سال	آن بیش از یک سال پیش رخ داد.	It happened over a year ago.	904		tatoeba
بیش	آن بیش از یک سال پیش رخ داد.	It happened over a year ago.	904		tatoeba
داد	آن بیش از یک سال پیش رخ داد.	It happened over a year ago.	904		tatoeba
رخ	آن بیش از یک سال پیش رخ داد.	It happened over a year ago.	904		tatoeba
چند	چند بار آن رخ داد؟	How many times did that happen?	904		tatoeba
بار	چند بار آن رخ داد؟	How many times did that happen?	904		tatoeba
داد	چند بار آن رخ داد؟	How many times did that happen?	904		tatoeba
رخ	چند بار آن رخ داد؟	How many times did that happen?	904		tatoeba
بلکه	عشق فقط یک احساس نیست بلکه یک هنر هم است.	Love is not just a feeling, but also an art.	920		tatoeba
فقط	عشق فقط یک احساس نیست بلکه یک هنر هم است.	Love is not just a feeling, but also an art.	920		tatoeba
هنر	عشق فقط یک احساس نیست بلکه یک هنر هم است.	Love is not just a feeling, but also an art.	920		tatoeba
احساس	عشق فقط یک احساس نیست بلکه یک هنر هم است.	Love is not just a feeling, but also an art.	920		tatoeba
آخر	در آخر اما نه با اهمیت کمتر....	Last but not least ....	924		tatoeba
کمتر	در آخر اما نه با اهمیت کمتر....	Last but not least ....	924		tatoeba
اهمیت	در آخر اما نه با اهمیت کمتر....	Last but not least ....	924		tatoeba
اما	در آخر اما نه با اهمیت کمتر....	Last but not least ....	924		tatoeba
خوبی	یک شروع خوب، پایان خوبی در پی دارد.	A good beginning makes a good ending.	935		tatoeba
پایان	یک شروع خوب، پایان خوبی در پی دارد.	A good beginning makes a good ending.	935		tatoeba
پی	یک شروع خوب، پایان خوبی در پی دارد.	A good beginning makes a good ending.	935		tatoeba
خوبی	چه فکر خوبی!	What a good idea!	935		tatoeba
فکر	چه فکر خوبی!	What a good idea!	935		tatoeba
کردند	آنها پیشنهاد کمک کردند.	They offered assistance.	943		tatoeba
پیشنهاد	آنها پیشنهاد کمک کردند.	They offered assistance.	943		tatoeba
کمک	آنها پیشنهاد کمک کردند.	They offered assistance.	943		tatoeba
گوشت	امروزه گوشت خیلی گران است.	Meat is very expensive nowadays.	949		tatoeba
امروزه	امروزه گوشت خیلی گران است.	Meat is very expensive nowadays.	949		tatoeba
گران	امروزه گوشت خیلی گران است.	Meat is very expensive nowadays.	949		tatoeba
شدت	او به‌شدت کار می‌کرد.	He was working hard.	957		tatoeba
شدت	هوا به شدت گرم است.	The weather is extremely hot.	957		tatoeba
تغییر	تغییر تنها ثابت است.	Change is the only constant.	962		tatoeba
ثابت	تغییر تنها ثابت است.	Change is the only constant.	962		tatoeba
طبیعت	تنها ثابت در طبیعت تغییر است.	The only constant in nature is change.	962		tatoeba
ثابت	تنها ثابت در طبیعت تغییر است.	The only constant in nature is change.	962		tatoeba
تغییر	تنها ثابت در طبیعت تغییر است.	The only constant in nature is change.	962		tatoeba
زبان	زنده باد زبان فارسی!	Long live the Persian language!	983		tatoeba
زنده	زنده باد زبان فارسی!	Long live the Persian language!	983		tatoeba
فارسی	زنده باد زبان فارسی!	Long live the Persian language!	983		tatoeba
باد	زنده باد زبان فارسی!	Long live the Persian language!	983		tatoeba
واقعی	پدر واقعی من نیست.	He's not my real father.	987		tatoeba
نبود	این صدا خیلی قابل شنیدن نبود.	The sound wasn't very audible.	994		tatoeba
شنیدن	این صدا خیلی قابل شنیدن نبود.	The sound wasn't very audible.	994		tatoeba
صدا	این صدا خیلی قابل شنیدن نبود.	The sound wasn't very audible.	994		tatoeba
قابل	این صدا خیلی قابل شنیدن نبود.	The sound wasn't very audible.	994		tatoeba
نبود	امتحان سخت نبود.	The exam wasn't hard.	994		tatoeba
امتحان	امتحان سخت نبود.	The exam wasn't hard.	994		tatoeba
داد	او به سؤال پاسخ داد.	He answered the question.	995		tatoeba
پاسخ	او به سؤال پاسخ داد.	He answered the question.	995		tatoeba
موسیقی	من عضو باشگاه موسیقی هستم.	I belong to the music club.	999		tatoeba
عضو	من عضو باشگاه موسیقی هستم.	I belong to the music club.	999		tatoeba
باشگاه	من عضو باشگاه موسیقی هستم.	I belong to the music club.	999		tatoeba
خبر	او خبر چین است!	He's a snitch!	1000		tatoeba
چین	او خبر چین است!	He's a snitch!	1000		tatoeba
جنوب	در جنوب چین ،وضعیت متفاوت است	In the south of China, the situation is different.	1001		tatoeba
چین	در جنوب چین ،وضعیت متفاوت است	In the south of China, the situation is different.	1001		tatoeba
وضعیت	در جنوب چین ،وضعیت متفاوت است	In the south of China, the situation is different.	1001		tatoeba
متفاوت	در جنوب چین ،وضعیت متفاوت است	In the south of China, the situation is different.	1001		tatoeba
ارزش	این ارزش بررسی را دارد.	That's worth investigating.	1003		tatoeba
بررسی	این ارزش بررسی را دارد.	That's worth investigating.	1003		tatoeba
زبان	زبان عربی سخت است!	Arabic is difficult!	1008		tatoeba
عربی	زبان عربی سخت است!	Arabic is difficult!	1008		tatoeba
دلار	قیمت آن سی دی 10 دلار است.	That CD costs 10 dollars.	1009		tatoeba
سی	قیمت آن سی دی 10 دلار است.	That CD costs 10 dollars.	1009		tatoeba
دی	قیمت آن سی دی 10 دلار است.	That CD costs 10 dollars.	1009		tatoeba
قیمت	قیمت آن سی دی 10 دلار است.	That CD costs 10 dollars.	1009		tatoeba
تیم	تیم پزشکی آمد.	A medical team came.	1018		tatoeba
پزشکی	تیم پزشکی آمد.	A medical team came.	1018		tatoeba
آسان	در ابتدا، او فکر می کرد انگلیسی خیلی سخت است، اما اکنون او فکر می کند آسان است.	At first, he thought English very difficult, but now he thinks it is easy.	1019		tatoeba
انگلیسی	در ابتدا، او فکر می کرد انگلیسی خیلی سخت است، اما اکنون او فکر می کند آسان است.	At first, he thought English very difficult, but now he thinks it is easy.	1019		tatoeba
ابتدا	در ابتدا، او فکر می کرد انگلیسی خیلی سخت است، اما اکنون او فکر می کند آسان است.	At first, he thought English very difficult, but now he thinks it is easy.	1019		tatoeba
اکنون	در ابتدا، او فکر می کرد انگلیسی خیلی سخت است، اما اکنون او فکر می کند آسان است.	At first, he thought English very difficult, but now he thinks it is easy.	1019		tatoeba
فکر	در ابتدا، او فکر می کرد انگلیسی خیلی سخت است، اما اکنون او فکر می کند آسان است.	At first, he thought English very difficult, but now he thinks it is easy.	1019		tatoeba
اکنون	ما اکنون کجا هستیم؟	Where are we now?	1019		tatoeba
کجا	ما اکنون کجا هستیم؟	Where are we now?	1019		tatoeba
آنجا	آنجا هوا چه طور است؟	How's the weather there?	1024		tatoeba
طور	آنجا هوا چه طور است؟	How's the weather there?	1024		tatoeba
زود	کمی برای نوشیدن زود است، این طور نیست؟	It's a bit early to be drinking, isn't it?	1024		tatoeba
نوشیدن	کمی برای نوشیدن زود است، این طور نیست؟	It's a bit early to be drinking, isn't it?	1024		tatoeba
طور	کمی برای نوشیدن زود است، این طور نیست؟	It's a bit early to be drinking, isn't it?	1024		tatoeba
کمی	کمی برای نوشیدن زود است، این طور نیست؟	It's a bit early to be drinking, isn't it?	1024		tatoeba
طور	شاید برای او هم دقیقا همین طور است.	Maybe it will be exactly the same for him.	1024		tatoeba
دقیقا	شاید برای او هم دقیقا همین طور است.	Maybe it will be exactly the same for him.	1024		tatoeba
شاید	شاید برای او هم دقیقا همین طور است.	Maybe it will be exactly the same for him.	1024		tatoeba
همین	شاید برای او هم دقیقا همین طور است.	Maybe it will be exactly the same for him.	1024		tatoeba
کرده	شماره تلفن من دوباره تغییر کرده است.	My phone number has changed again.	1035		tatoeba
شماره	شماره تلفن من دوباره تغییر کرده است.	My phone number has changed again.	1035		tatoeba
دوباره	شماره تلفن من دوباره تغییر کرده است.	My phone number has changed again.	1035		tatoeba
تلفن	شماره تلفن من دوباره تغییر کرده است.	My phone number has changed again.	1035		tatoeba
پروژه	پروژه بسیار بزرگ است.	The project is massive.	1042		tatoeba
حمله	حمله بهترین دفاع است.	Attack is the best form of defense.	1048		tatoeba
دفاع	حمله بهترین دفاع است.	Attack is the best form of defense.	1048		tatoeba
کسی	چه کسی از او دفاع می کند.	Who defends him?	1048		tatoeba
دفاع	چه کسی از او دفاع می کند.	Who defends him?	1048		tatoeba
مسئله	آنها مسئله را بررسی می کنند.	They explore the problem.	1052		tatoeba
کنند	آنها مسئله را بررسی می کنند.	They explore the problem.	1052		tatoeba
بررسی	آنها مسئله را بررسی می کنند.	They explore the problem.	1052		tatoeba
نزدیکی	آنها همین نزدیکی ها زندگی می کنند.	They live nearby.	1053		tatoeba
کنند	آنها همین نزدیکی ها زندگی می کنند.	They live nearby.	1053		tatoeba
همین	آنها همین نزدیکی ها زندگی می کنند.	They live nearby.	1053		tatoeba
نزدیکی	او تقریباً هیچ دوست نزدیکی ندارد.	She has nearly no close friends.	1053		tatoeba
نویسنده	تو نویسندهٔ این کتاب هستی؟	Are you the author of this book?	1054		tatoeba
مقاومت	او برای مقاومت کردن خیلی پیر است.	He was too old to resist.	1060		tatoeba
پیر	او برای مقاومت کردن خیلی پیر است.	He was too old to resist.	1060		tatoeba
عالی	عالی! خیلی خوب!	Great!	1062		tatoeba
حال	خیلی با حال! بسیار عالی!	Fantastic!	1062		tatoeba
عالی	خیلی با حال! بسیار عالی!	Fantastic!	1062		tatoeba
برخوردار	این موضوع از اهمیت کمی برخوردار است.	This fact is of little consequence.	1064		tatoeba
اهمیت	این موضوع از اهمیت کمی برخوردار است.	This fact is of little consequence.	1064		tatoeba
موضوع	این موضوع از اهمیت کمی برخوردار است.	This fact is of little consequence.	1064		tatoeba
کمی	این موضوع از اهمیت کمی برخوردار است.	This fact is of little consequence.	1064		tatoeba
هست	امید کمی به بهبود او هست.	There is little hope that he will recover.	1065		tatoeba
بهبود	امید کمی به بهبود او هست.	There is little hope that he will recover.	1065		tatoeba
امید	امید کمی به بهبود او هست.	There is little hope that he will recover.	1065		tatoeba
کمی	امید کمی به بهبود او هست.	There is little hope that he will recover.	1065		tatoeba
رودخانه	قلعه آن طرف رودخانه است.	The castle is across the river.	1067		tatoeba
طرف	قلعه آن طرف رودخانه است.	The castle is across the river.	1067		tatoeba
قلعه	قلعه آن طرف رودخانه است.	The castle is across the river.	1067		tatoeba
صلح	هیچ چیز به اندازه صلح و امنیت اهمیت ندارد.	Nothing is as important as peace.	1070		tatoeba
امنیت	هیچ چیز به اندازه صلح و امنیت اهمیت ندارد.	Nothing is as important as peace.	1070		tatoeba
اهمیت	هیچ چیز به اندازه صلح و امنیت اهمیت ندارد.	Nothing is as important as peace.	1070		tatoeba
اندازه	هیچ چیز به اندازه صلح و امنیت اهمیت ندارد.	Nothing is as important as peace.	1070		tatoeba
ابر	یک ابر آب را جذب می‌کند.	A sponge absorbs water.	1079		tatoeba
آب	یک ابر آب را جذب می‌کند.	A sponge absorbs water.	1079		tatoeba
جذب	یک ابر آب را جذب می‌کند.	A sponge absorbs water.	1079		tatoeba
مسابقه	او در مسابقه به جایگاه اول رسید.	He took the first place in the race.	1084		tatoeba
اول	او در مسابقه به جایگاه اول رسید.	He took the first place in the race.	1084		tatoeba
جایگاه	او در مسابقه به جایگاه اول رسید.	He took the first place in the race.	1084		tatoeba
سطح	سه چهارم سطح زمین آب است.	Three-fourths of the earth's surface is water.	1086		tatoeba
سه	سه چهارم سطح زمین آب است.	Three-fourths of the earth's surface is water.	1086		tatoeba
چهارم	سه چهارم سطح زمین آب است.	Three-fourths of the earth's surface is water.	1086		tatoeba
درخواست	او درخواست کمک کرد.	He appealed for help.	1095		tatoeba
بیشتر	هر چه بیشتر، بهتر.	The more the better.	1096		tatoeba
بهتر	هر چه بیشتر، بهتر.	The more the better.	1096		tatoeba
بهتر	بهتر است ثروتمند زندگی کرد، تا ثروتمند مرد.	It is better to live rich, than to die rich.	1096		tatoeba
تا	بهتر است ثروتمند زندگی کرد، تا ثروتمند مرد.	It is better to live rich, than to die rich.	1096		tatoeba
ثروتمند	بهتر است ثروتمند زندگی کرد، تا ثروتمند مرد.	It is better to live rich, than to die rich.	1096		tatoeba
بهتر	خوب انجام شدن بهتر از خوب گفته شدن است.	Well done is better than well said.	1096		tatoeba
گفته	خوب انجام شدن بهتر از خوب گفته شدن است.	Well done is better than well said.	1096		tatoeba
شدن	خوب انجام شدن بهتر از خوب گفته شدن است.	Well done is better than well said.	1096		tatoeba
انجام	خوب انجام شدن بهتر از خوب گفته شدن است.	Well done is better than well said.	1096		tatoeba
قابل	این قابل بحث است	That's debatable.	1098		tatoeba
بحث	این قابل بحث است	That's debatable.	1098		tatoeba
ادامه	بحث ادامه دارد.	The debate is continuing.	1098		tatoeba
بحث	بحث ادامه دارد.	The debate is continuing.	1098		tatoeba
پروژه	پروژه‌ی شما چطور پیش می‌رود؟	How's your project coming along?	1111		tatoeba
رود	پروژه‌ی شما چطور پیش می‌رود؟	How's your project coming along?	1111		tatoeba
رود	او راه می رود.	She walks.	1111		tatoeba
هتل	او الآن دارد به هتل می‌رود.	She's going to the hotel now.	1111		tatoeba
رود	او الآن دارد به هتل می‌رود.	She's going to the hotel now.	1111		tatoeba
قهرمان	او سه سال قهرمان بود.	He was the champion for three years.	1113		tatoeba
هست	همیشه جا برای بهبود هست.	There's always room for improvement.	1115		tatoeba
جا	همیشه جا برای بهبود هست.	There's always room for improvement.	1115		tatoeba
همیشه	همیشه جا برای بهبود هست.	There's always room for improvement.	1115		tatoeba
بهبود	همیشه جا برای بهبود هست.	There's always room for improvement.	1115		tatoeba
مقابل	واکنش او در مقابل این خبر چه بود؟	What was her reaction to the news?	1119		tatoeba
واکنش	واکنش او در مقابل این خبر چه بود؟	What was her reaction to the news?	1119		tatoeba
کنید	فکر می‌کنید، که خیلی بلند هستم؟	Do you think I'm too tall?	1120		tatoeba
فکر	فکر می‌کنید، که خیلی بلند هستم؟	Do you think I'm too tall?	1120		tatoeba
بلند	فکر می‌کنید، که خیلی بلند هستم؟	Do you think I'm too tall?	1120		tatoeba
کشتی	کشتی را ترک کنید!	Abandon ship!	1120		tatoeba
کنید	کشتی را ترک کنید!	Abandon ship!	1120		tatoeba
ترک	کشتی را ترک کنید!	Abandon ship!	1120		tatoeba
کنید	از خود دفاع کنید.	Defend yourselves.	1120		tatoeba
خود	از خود دفاع کنید.	Defend yourselves.	1120		tatoeba
دفاع	از خود دفاع کنید.	Defend yourselves.	1120		tatoeba
داشتند	در دریا جزیره ها وجود داشتند.	There were islands in the sea.	1121		tatoeba
دریا	در دریا جزیره ها وجود داشتند.	There were islands in the sea.	1121		tatoeba
جزیره	در دریا جزیره ها وجود داشتند.	There were islands in the sea.	1121		tatoeba
وجود	در دریا جزیره ها وجود داشتند.	There were islands in the sea.	1121		tatoeba
خانواده	او خانواده‌ی بزرگی دارد.	He has a large family.	1123		tatoeba
بزرگی	او خانواده‌ی بزرگی دارد.	He has a large family.	1123		tatoeba
بزرگی	خانواده‌ی بزرگی دارد.	His is a large family.	1123		tatoeba
خدا	خدا وجود دارد.	God exists.	1134		tatoeba
قطار	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.	The train leaves in ten minutes.	1135		tatoeba
حرکت	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.	The train leaves in ten minutes.	1135		tatoeba
دقیقه	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.	The train leaves in ten minutes.	1135		tatoeba
ده	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.	The train leaves in ten minutes.	1135		tatoeba
دقیقه	زندگی از علوم دقیقه نیست، یک هنر است.	Life is not an exact science, it is an art.	1135		tatoeba
علوم	زندگی از علوم دقیقه نیست، یک هنر است.	Life is not an exact science, it is an art.	1135		tatoeba
هنر	زندگی از علوم دقیقه نیست، یک هنر است.	Life is not an exact science, it is an art.	1135		tatoeba
دقیقه	اقتصاد از علوم دقیقه نیست.	Economics is not an exact science.	1135		tatoeba
علوم	اقتصاد از علوم دقیقه نیست.	Economics is not an exact science.	1135		tatoeba
اقتصاد	اقتصاد از علوم دقیقه نیست.	Economics is not an exact science.	1135		tatoeba
ساده	انجام این کار برای من خیلی ساده است.	This work is simple enough for me to do.	1136		tatoeba
همیشه	همیشه همه چیز در زندگی ساده نیست.	Everything isn't always simple in life.	1136		tatoeba
ساده	همیشه همه چیز در زندگی ساده نیست.	Everything isn't always simple in life.	1136		tatoeba
دل	تو ساده‌دل هستی.	You're gullible.	1136		tatoeba
ساده	تو ساده‌دل هستی.	You're gullible.	1136		tatoeba
کشتی	در آن فاصله، آن کشتی شبیه یک جزیره است.	From that distance, the ship is similar to an island.	1141		tatoeba
جزیره	در آن فاصله، آن کشتی شبیه یک جزیره است.	From that distance, the ship is similar to an island.	1141		tatoeba
شبیه	در آن فاصله، آن کشتی شبیه یک جزیره است.	From that distance, the ship is similar to an island.	1141		tatoeba
فاصله	در آن فاصله، آن کشتی شبیه یک جزیره است.	From that distance, the ship is similar to an island.	1141		tatoeba
خطر	جهان در خطر است.	The world is in danger.	1151		tatoeba
جهان	جهان در خطر است.	The world is in danger.	1151		tatoeba
سالگی	او این کتاب را در سن بیست‌سالگی نوشت.	He wrote this book at the age of twenty.	1155		tatoeba
نوشت	او این کتاب را در سن بیست‌سالگی نوشت.	He wrote this book at the age of twenty.	1155		tatoeba
بیست	او این کتاب را در سن بیست‌سالگی نوشت.	He wrote this book at the age of twenty.	1155		tatoeba
سعی	او سعی کرد.	She tried.	1162		tatoeba
غذا	به هر نفر، غذا و لباس کافی داده شد.	Each person was given enough food and clothing.	1168		tatoeba
نفر	به هر نفر، غذا و لباس کافی داده شد.	Each person was given enough food and clothing.	1168		tatoeba
لباس	به هر نفر، غذا و لباس کافی داده شد.	Each person was given enough food and clothing.	1168		tatoeba
کافی	به هر نفر، غذا و لباس کافی داده شد.	Each person was given enough food and clothing.	1168		tatoeba
جای	جای کافی برای بازی کردن ما وجود دارد.	There is enough room for us to play.	1168		tatoeba
بازی	جای کافی برای بازی کردن ما وجود دارد.	There is enough room for us to play.	1168		tatoeba
کافی	جای کافی برای بازی کردن ما وجود دارد.	There is enough room for us to play.	1168		tatoeba
اتاق	این اتاق به اندازه کافی بزرگ است.	This room is large enough.	1168		tatoeba
اندازه	این اتاق به اندازه کافی بزرگ است.	This room is large enough.	1168		tatoeba
کافی	این اتاق به اندازه کافی بزرگ است.	This room is large enough.	1168		tatoeba
مقابل	مغازه، مقابل بانک است.	The shop is opposite the bank.	1169		tatoeba
مغازه	مغازه، مقابل بانک است.	The shop is opposite the bank.	1169		tatoeba
بانک	مغازه، مقابل بانک است.	The shop is opposite the bank.	1169		tatoeba
کودکان	مردان فقط کودکان بزرگ هستند.	Men are but children of a larger growth.	1172		tatoeba
مردان	مردان فقط کودکان بزرگ هستند.	Men are but children of a larger growth.	1172		tatoeba
تعطیلات	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.	A good many people have told me to take a holiday.	1177		tatoeba
رفتن	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.	A good many people have told me to take a holiday.	1177		tatoeba
پیشنهاد	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.	A good many people have told me to take a holiday.	1177		tatoeba
اند	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.	A good many people have told me to take a holiday.	1177		tatoeba
قوی	آنها به اندازه ما قوی اند.	They are as strong as us.	1177		tatoeba
اند	آنها به اندازه ما قوی اند.	They are as strong as us.	1177		tatoeba
برادر	هر دو برادر هنوز زنده اند.	Both brothers are still alive.	1177		tatoeba
زنده	هر دو برادر هنوز زنده اند.	Both brothers are still alive.	1177		tatoeba
اند	هر دو برادر هنوز زنده اند.	Both brothers are still alive.	1177		tatoeba
هنوز	هر دو برادر هنوز زنده اند.	Both brothers are still alive.	1177		tatoeba
تابع	تابع.	Go on.	1179		tatoeba
پادشاه	آن پادشاه سال ها بر آن سرزمین حکومت کرد.	The kingdom ruled over that land for years.	1188		tatoeba
حکومت	آن پادشاه سال ها بر آن سرزمین حکومت کرد.	The kingdom ruled over that land for years.	1188		tatoeba
سرزمین	آن پادشاه سال ها بر آن سرزمین حکومت کرد.	The kingdom ruled over that land for years.	1188		tatoeba
بر	آن پادشاه سال ها بر آن سرزمین حکومت کرد.	The kingdom ruled over that land for years.	1188		tatoeba
قالب	این قالب جان ندارد.	This body has no life.	1190		tatoeba
جان	این قالب جان ندارد.	This body has no life.	1190		tatoeba
خوبی	او بازیگر خوبی است(مرد)	He's a great artist.	1194		tatoeba
بازیگر	او بازیگر خوبی است(مرد)	He's a great artist.	1194		tatoeba
کیفیت	این آب با کیفیت است.	The water is good.	1195		tatoeba
عمر	آنچه مهم است، کیفیت است و نه طول عمر فرد.	The quality, not the longevity, of one's life is what is important.	1195		tatoeba
طول	آنچه مهم است، کیفیت است و نه طول عمر فرد.	The quality, not the longevity, of one's life is what is important.	1195		tatoeba
فرد	آنچه مهم است، کیفیت است و نه طول عمر فرد.	The quality, not the longevity, of one's life is what is important.	1195		tatoeba
کیفیت	آنچه مهم است، کیفیت است و نه طول عمر فرد.	The quality, not the longevity, of one's life is what is important.	1195		tatoeba
آنچه	آنچه مهم است، کیفیت است و نه طول عمر فرد.	The quality, not the longevity, of one's life is what is important.	1195		tatoeba
رسیده	ازدواج ما به پایان رسیده است.	Our marriage is over.	1198		tatoeba
پایان	ازدواج ما به پایان رسیده است.	Our marriage is over.	1198		tatoeba
ازدواج	ازدواج ما به پایان رسیده است.	Our marriage is over.	1198		tatoeba
صحبت	او شروع به صحبت کردن با سگ کرد.	She began to talk to the dog.	1199		tatoeba
صحبت	او انگلیسی صحبت می‌کند.	She speaks English.	1199		tatoeba
انگلیسی	او انگلیسی صحبت می‌کند.	She speaks English.	1199		tatoeba
فارسی	فارسی صحبت می‌کنید؟	Do you speak Farsi?	1199		tatoeba
صحبت	فارسی صحبت می‌کنید؟	Do you speak Farsi?	1199		tatoeba
ماند	او سه روز در آنجا ماند.	He stayed there for three days.	1200		tatoeba
آنجا	او سه روز در آنجا ماند.	He stayed there for three days.	1200		tatoeba
ماند	یک مشکل باقی می ماند.	One problem remains.	1200		tatoeba
باقی	یک مشکل باقی می ماند.	One problem remains.	1200		tatoeba
مشکل	یک مشکل باقی می ماند.	One problem remains.	1200		tatoeba
